X_scVI1,X_scVI2,X_scVI3,X_scVI4,X_scVI5,X_umap1,X_umap2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50
-1.2649677,2.1983912,-3.4942634,-0.55664504,0.29314744,2.4603202,2.4643548,2.1289542,-4.130527,1.2469741,-1.7674224,-1.1929811,-1.0713787,1.1671354,0.59317076,2.1111023,-0.15379797,-3.5026758,1.7821953,1.793751,-0.81840134,1.1438922,-0.5311828,1.3847398,0.5706979,0.6331123,-0.64632404,1.4260414,-0.28277972,-1.0122846,0.057211608,-0.25423712,0.7108125,-0.37634176,1.0140079,-0.018472433,-1.057826,0.44559258,-0.46890903,0.21729968,0.6781528,-0.33203918,-1.363446,-0.73014826,0.5566343,-0.22365656,-0.99133116,0.31496897,-1.2123499,1.0335628,1.5241336,1.6464431,-1.1838949,0.5299966,0.274098,-1.1926893,-1.2255114
0.3937543,0.6717428,0.35630387,-1.3205975,-0.6085239,7.3012047,1.1748196,-1.707805,-1.6402211,-0.003466533,-1.9082527,-0.7137893,-1.7664123,0.69485986,2.3844357,1.6071242,-2.0421603,-1.0338684,-1.6248435,0.45851478,0.9135149,0.47183296,-0.921858,0.85379064,0.84895444,0.31658033,-0.31139174,-0.93250746,-1.2331306,0.9497987,0.15844066,0.09145517,-0.5014632,-0.17324696,-0.46147197,0.5523541,-0.359396,-0.20169178,1.8453782,-0.62535125,-1.3178586,-1.3316747,0.066256195,0.091117114,-0.53268635,0.19711477,-0.4904413,0.7134734,2.0873253,0.39162078,0.2349623,0.6065626,0.19470352,1.1558758,0.3334409,0.12365126,0.44179052
-2.3034017,1.5626911,-0.37303013,-0.075751394,1.8453851,4.603483,3.8042467,1.1697633,-3.791619,3.2840893,-1.1598963,-1.0418333,1.1634219,0.19866888,-0.8913391,-1.3529164,-0.30978498,-0.38184857,-1.0813165,0.38525754,-0.8971436,0.3310324,-0.90910447,0.09829693,-0.12004668,-0.4072195,-1.0791248,-0.27262983,-0.04268803,-0.3613965,-0.008405102,1.671561,0.39807823,-1.3325818,-0.63703793,1.6592885,-0.6876462,-0.9896077,-0.40385705,-0.121482,2.0568092,0.7496199,1.9101442,-1.5129797,0.6161109,0.020091748,-0.6406585,-0.43412852,1.9807822,-1.4417748,0.108687125,-0.67598647,-0.8303388,-0.2949116,-0.6427816,-1.0885065,0.70328623
-2.829085,0.9570067,-3.4258301,0.7058187,1.176043,2.80739,3.9157262,3.573087,-3.4886906,2.4816525,-2.2642574,-1.475697,-2.5641603,-0.51860446,-1.0570853,-0.20832522,-0.049129143,0.73910725,2.1031644,-2.4150586,0.20637727,2.264594,-0.41521734,-0.3189722,-0.11394606,1.6000283,-1.3252431,1.0875616,-2.3833709,-1.0731007,-0.17544116,-1.6361188,-0.111899205,-0.15569933,0.10860792,-0.2751711,1.264166,-0.29840043,-0.22090036,-0.17806342,-0.8418207,0.11897809,-1.9990022,1.9493206,-0.56708694,0.36829177,0.5060003,0.5394047,1.4203573,-1.4228997,-1.7227664,-1.2423779,-0.28679267,-0.9688707,-1.1625638,-0.67471033,1.5155821
-1.51212,3.894961,-4.317426,-0.91757965,0.43286705,2.0864387,1.8435404,4.1771245,-5.714503,1.657033,-1.6715502,0.39171067,-0.40535012,0.69819427,0.4253661,1.9491574,-2.0467873,-1.7277782,-0.9717781,0.86151075,-0.79954034,1.3034792,1.3183514,-0.56119645,-1.8207796,-0.8078295,1.9018894,-1.9449488,-1.9369988,-1.1101584,-0.41639596,-1.3469992,0.6505376,1.8381307,0.22504774,-1.1713556,-1.4854171,-1.2596146,0.79271543,1.0025617,0.3278882,-0.667131,-1.4114245,0.19384399,0.91194236,0.24546337,0.18537423,1.0901,3.4463413,-1.4542185,0.79017675,0.017254712,0.48637605,-1.3038753,-0.6451737,-0.27377486,1.7633895
-0.45963037,0.7595742,-3.99487,-0.9461237,0.8604152,2.6081662,2.381791,3.8989828,-4.779059,0.0029995951,-2.4749067,-0.24397773,-1.2421635,0.48882076,0.9161754,0.11212479,-1.1216689,-0.2805583,0.5299187,-0.65838873,-0.34873626,-0.2146763,-0.65618765,-0.9140119,1.421262,0.92956907,-1.2008821,1.5959295,-1.1280009,-0.16379556,1.1405772,-0.7567586,-0.31111583,-0.28499627,-1.0466249,0.8184484,-0.08898006,-1.9024216,-1.260271,0.11029753,-1.7473072,-1.016639,-1.4636027,-0.88298583,0.4241579,-1.74024,0.8324039,2.0509264,1.7631192,0.16195793,-0.0527864,0.89299726,0.673836,1.7666951,2.8359706,0.36844835,-1.3797271
-1.5579696,1.4656621,-2.9653018,-0.8401436,1.3356658,2.8855367,3.1162987,3.5506012,-5.3912716,0.9030248,-2.4742203,-1.3255094,0.07192947,2.065088,0.1230397,-0.14708363,-0.5836984,-0.82042015,-2.736181,-0.89416575,0.09068317,0.032213368,-1.2158853,0.8052948,0.88328993,-0.24543999,-1.0183904,1.0377529,-1.3157561,-1.1980612,1.0785159,-0.59387976,0.8349132,0.09166561,-2.4917586,-2.0606256,0.8803233,1.4673599,1.217335,-0.585112,0.88633615,0.44656694,0.29831058,-0.09550086,-1.3011366,0.4385727,-2.1834075,0.59549665,-0.557958,0.36777595,-1.0168177,-1.3566469,0.93856525,0.5638407,2.4839199,-0.8655185,-0.77677345
-2.8460345,1.7278866,-3.2326853,-0.5843496,0.4784478,2.7535365,3.3909473,2.0151575,-4.241504,1.6803912,-3.0424101,-0.36387795,-3.2209697,-0.24134037,1.1314069,0.32087335,-0.5557161,-1.6045401,0.6634497,0.5950654,0.10517239,1.2678157,2.9969647,-0.59320575,0.21915463,1.7853237,-2.2202315,1.5516353,-1.0074924,-0.76468754,0.46921408,-0.25320497,-1.9119756,2.4790328,-3.9107664,-1.118433,-0.583114,-1.7088095,1.2718904,-0.8269831,-0.8237025,-1.7535267,0.20327646,0.77807534,-1.6482352,0.6000242,-0.5636081,0.2681314,-0.05965594,-0.8947274,0.5821544,-0.974226,-0.4725717,1.126716,2.1110344,-0.01329871,-1.2894788
-1.4510217,1.621765,-2.6661348,0.029794753,-1.2197847,2.730603,2.9588735,1.7692517,-3.9389007,-0.7573518,-2.09679,-1.14722,-1.6025151,-2.0983562,1.4427916,1.0527407,0.34359288,-0.7154783,0.6064304,-0.99050754,0.2431647,1.8125383,1.7040143,-0.07462583,-1.9634869,-0.41391233,0.0176854,-1.3398672,-0.41490617,-1.1876148,0.16916353,-0.78667295,-0.6150071,-0.17806165,-0.26004547,-0.5901232,1.5698377,0.3324804,1.204185,-1.4238192,-1.5118903,1.0387704,0.12663756,-0.16614807,-1.4671195,0.5746339,0.33287418,-1.2623688,-0.5533838,-0.39678448,-2.4872913,-0.96669567,0.9317515,-2.777842,-0.21057668,1.8255502,0.32020038
1.1678882,1.7415701,-3.5543664,-0.80447644,-0.14074756,2.870611,0.90793943,2.9702713,-3.141271,-0.6736251,-2.2115922,1.7062149,-2.6876404,0.09353012,0.07272104,-1.3397053,1.6514547,-3.7430556,1.3526193,0.13224408,0.9169118,0.4074622,-1.1686009,-1.5693811,-0.3621813,-1.4787325,-3.1819532,-1.2028157,0.14907385,-1.4451094,-1.1011487,2.3061783,-3.7147636,-1.0819582,1.0526593,0.27694893,1.3895578,0.5881415,-1.4647952,-1.7162455,1.8997208,0.62858504,-1.992931,-1.1956195,1.0360358,0.6548569,-0.11818953,-0.26065832,1.1927187,0.6195909,-1.3135984,0.39886522,-0.78285164,1.3542103,0.75421816,-1.7501935,0.6044053
